Month,Installations
Jan-15,42.0
Feb-15,43.5
Mar-15,54.3
Apr-15,62.1
May-15,64.0
Jun-15,73.8
Jul-15,74.0
Aug-15,72.9
Sep-15,63.1
Oct-15,51.9
Nov-15,48.0
Dec-15,48.0
Jan-16,54.0
Feb-16,59.4
Mar-16,68.8
Apr-16,83.2
May-16,89.1
Jun-16,92.9
Jul-16,87.3
Aug-16,76.3
Sep-16,61.2
Oct-16,58.4
Nov-16,56.2
Dec-16,54.3
Jan-17,60.8
Feb-17,61.2
Mar-17,75.6
Apr-17,87.2
May-17,94.9
Jun-17,103.2
Jul-17,92.6
Aug-17,83.5
Sep-17,76.7
Oct-17,71.4
Nov-17,65.8
Dec-17,54.6
Jan-18,60.2
Feb-18,68.8
Mar-18,79.8
Apr-18,91.2
May-18,105.6
Jun-18,100.9
Jul-18,97.4
Aug-18,91.5
Sep-18,89.4
Oct-18,87.0
Nov-18,84.4
Dec-18,83.3
Jan-19,85.9
Feb-19,86.0
Mar-19,94.0
Apr-19,113.0
May-19,129.3
Jun-19,132.9
Jul-19,128.4
Aug-19,118.9
Sep-19,108.5
Oct-19,101.4
Nov-19,98.9
Dec-19,93.8
Jan-20,99.1
Feb-20,105.6
Mar-20,115.4
Apr-20,126.7
May-20,133.4
Jun-20,137.6
Jul-20,135.4
Aug-20,134.9
Sep-20,127.1
Oct-20,115.8
Nov-20,97.5
Dec-20,92.8
Jan-21,98.7
Feb-21,106.7
Mar-21,120.8
Apr-21,128.3
May-21,131.8
Jun-21,141.4
Jul-21,137.1
Aug-21,131.0
Sep-21,117.3
Oct-21,115.5
Nov-21,112.3
Dec-21,114.3
Jan-22,127.4
Feb-22,122.5
Mar-22,136.7
Apr-22,148.4
May-22,154.9
Jun-22,159.9
Jul-22,154.3
Aug-22,149.0
Sep-22,137.2
Oct-22,127.0
Nov-22,123.6
Dec-22,117.1
Jan-23,118.0
Feb-23,128.4
Mar-23,139.0
Apr-23,141.8
May-23,153.3
Jun-23,158.6
Jul-23,152.6
Aug-23,146.0
Sep-23,141.7
Oct-23,133.1
Nov-23,131.6
Dec-23,127.3
Jan-24,135.9
Feb-24,139.0
Mar-24,151.9
Apr-24,153.4
May-24,164.9
Jun-24,169.2
Jul-24,168.5
Aug-24,165.5
Sep-24,153.6
Oct-24,142.0
Nov-24,140.4
Dec-24,130.6
